Sample rows from table: mnrCust

ID	Number	Name	LatinName	PriceType	DiscRate	Barcode	Prefix	Suffix	Country	City	Area	Street	Nationality	PoBox	MailBox	Phone1	Phone2	Mobile	Fax	Telex	Email	WebPage	Notes	TermType	TermCnt	SalesmanID	Inactive	Hold	VATAccID	Longitude	Latitude	CurrentPoint	BeginPoint	TaxNum	ClassID	Type	ActivityType	TaxCode	IdentityNum	PassportNum	ResidenceNum	RegistrationNum	License1	License2	License3	CreatedAt	UpdatedAt
174C6988-0860-452A-9F75-00C4FE7B5307	155	وكيل نجار		0	0.0																			0	0	00000000-0000-0000-0000-000000000000	False	False	00000000-0000-0000-0000-000000000000	0.0	0.0	0.0	0.0		00000000-0000-0000-0000-000000000000	0	0									2024-04-30 00:00:00	2024-04-30 00:00:00
FD1D277F-5661-4243-B2E0-0101149E9815	32	شركة الحديد المتكامل لانظمة حوامل الكابلات		0	0.0				السعودية	الرياض	حي المشاعل	كيفان		14328	14328									0	0	00000000-0000-0000-0000-000000000000	False	False	00000000-0000-0000-0000-000000000000	0.0	0.0	0.0	0.0	311303627900003	00000000-0000-0000-0000-000000000000	2	1					1010536477				1980-01-01 00:00:00	2024-02-15 00:00:00
76DDAE76-689A-4084-A44F-032CCF591BC6	132	شركة بانة الاعمار لمنتجات الحجر والرخام		0	0.0																			0	0	00000000-0000-0000-0000-000000000000	False	False	00000000-0000-0000-0000-000000000000	0.0	0.0	0.0	0.0		00000000-0000-0000-0000-000000000000	0	0									1980-01-01 00:00:00	1980-01-01 00:00:00
94B2B5C8-2BBD-4F32-B1C6-04512A36118B	82	شركة المضخات الحديثة المحدودة		0	0.0				السعودية	الرياض	الرياض	عمر المختار		.	.									0	0	00000000-0000-0000-0000-000000000000	False	False	00000000-0000-0000-0000-000000000000	0.0	0.0	0.0	0.0	310030801600003	00000000-0000-0000-0000-000000000000	2	0									2024-03-13 00:00:00	2024-03-13 00:00:00
F4F634D3-B932-4F21-844E-04A0D214E744	153	حسيب احمد حبيب احمد		0	0.0																			0	0	00000000-0000-0000-0000-000000000000	False	False	00000000-0000-0000-0000-000000000000	0.0	0.0	0.0	0.0		00000000-0000-0000-0000-000000000000	0	0									2024-04-16 00:00:00	2024-04-16 00:00:00
5BD6B7FE-AC3E-4785-9C2A-0571E92A3128	78	شركة بصمة وطن الخليجية للتجارة		0	0.0																			0	0	00000000-0000-0000-0000-000000000000	False	False	00000000-0000-0000-0000-000000000000	0.0	0.0	0.0	0.0	311091440600003	00000000-0000-0000-0000-000000000000	0	0									2024-02-14 00:00:00	2024-02-14 00:00:00
DED375EC-9359-41E6-8D79-0635E08D2A1A	175	شركة هافانا للاسثمار مكتب رقم17		0	0.0				المملكة العربية السعوديه	الرياض	حى النزهه	عثمان بن عفان		12472										0	0	00000000-0000-0000-0000-000000000000	False	False	00000000-0000-0000-0000-000000000000	0.0	0.0	0.0	0.0	300951115300003	00000000-0000-0000-0000-000000000000	0	1					1010903282				2025-01-05 13:53:31	2025-01-06 09:34:43
6BF22F7E-34A2-4FEF-AC31-06518FFB13B3	160	مؤسسة اماكن للاستشارات الهندسية		0	0.0																			0	0	00000000-0000-0000-0000-000000000000	False	False	00000000-0000-0000-0000-000000000000	0.0	0.0	0.0	0.0	300009063400003	00000000-0000-0000-0000-000000000000	2	0									2025-01-05 13:35:36	2025-01-05 13:36:10
1A33671B-4701-47CE-BB6B-07EE987B6FBB	35	مؤسسة ابو جواهر لاجهزة السلامة		0	0.0																			0	0	00000000-0000-0000-0000-000000000000	False	False	00000000-0000-0000-0000-000000000000	0.0	0.0	0.0	0.0	300034049800003	00000000-0000-0000-0000-000000000000	0	0									2024-06-05 00:00:00	2024-06-05 00:00:00
8742DC9B-C21F-478E-80DD-0A382DC3E59E	137	مؤسسة العبدالكريم للعقارات والمقاولات		0	0.0																			0	0	00000000-0000-0000-0000-000000000000	False	False	00000000-0000-0000-0000-000000000000	0.0	0.0	0.0	0.0		00000000-0000-0000-0000-000000000000	0	0									1980-01-01 00:00:00	1980-01-01 00:00:00
