Sample rows from table: mnrHrOption

ID	Number	Name	Value
C0EB29DF-C5BE-4D8A-9F71-8FDFBD9016F1	1.0	AbsClr	470526
F470CDE1-5DE3-4AAA-8425-7A46393019E3	2.0	LegAbsClr	470526
6F7E6B3B-3EF7-4D28-9E47-00996983E095	3.0	SickAbsClr	65535
15874F02-CAE5-4109-AD12-90E0D4BA07EA	4.0	AttendClr	16777215
ACBF1007-3B95-42C1-AA4C-7D65D78AAD6D	5.0	WeekHolClr	11184640
DAAFD333-7298-47B2-925F-5DDBBD89C36F	6.0	OffHolClr	34816
932B104D-9976-4B62-AEA2-0D76DCA5DC22	7.0	MissClr	4572207
F2314411-C2DB-45FE-901F-34B6D9DA4A01	8.0	VacClr	2255615
A6DFA276-1B20-427E-AF9B-1047120B6C9A	9.0	StAbse	1
D66AB2B7-9C41-40E4-80D1-B8ED1D3E4FB2	10.0	StLegAbs	1
