Sample rows from table: mnrEntryItem

ID	mnrEntryID	Number	Date	AccID	Debit	Credit	CurrencyID	CurrencyVal	Notes	SalesmanID	Vendor	CostJobID	ContraAccID	Class	CurrencyVal2	ItemType	TaxType	Tax	EntityName	TaxNum	InvoiceNum	TaxAccID
7873656E-36E2-4FB5-9744-3378BD7C3824	DCCA4B14-FD22-423B-886D-060243C11E1E	2	2025-01-01 00:00:00	14B950F1-B18E-4A6C-A324-701C84636152	0.0	4618.8	73A01E45-FC1B-4000-ADCC-22A27826DCE6	1.0	ايجار مكتب عبيده الشبل المستحق من 01/01/2025حتى 01/07/2025	00000000-0000-0000-0000-000000000000		00000000-0000-0000-0000-000000000000	A45EE5D4-5F44-46F8-ABC6-99B1D0D5C9A4		0.0	0	0	0.0	NULL	NULL	NULL	NULL
F4511648-EAC9-466F-91B5-164CE08ED809	DCCA4B14-FD22-423B-886D-060243C11E1E	1	2025-01-01 00:00:00	A45EE5D4-5F44-46F8-ABC6-99B1D0D5C9A4	35410.8	0.0	73A01E45-FC1B-4000-ADCC-22A27826DCE6	1.0	ايجار مكتب عبيده الشبل المستحق من 01/01/2025حتى 01/07/2025	00000000-0000-0000-0000-000000000000		00000000-0000-0000-0000-000000000000	00000000-0000-0000-0000-000000000000		0.0	0	0	0.0	NULL	NULL	NULL	NULL
323259B8-E422-406A-B8A2-43A46B20FAC7	DCCA4B14-FD22-423B-886D-060243C11E1E	3	2025-01-01 00:00:00	F3841862-03FF-41DF-9342-9BFD543A9893	0.0	30792.0	73A01E45-FC1B-4000-ADCC-22A27826DCE6	1.0	ايجار مكتب عبيده الشبل المستحق من 01/01/2025حتى 01/07/2025	00000000-0000-0000-0000-000000000000		00000000-0000-0000-0000-000000000000	A45EE5D4-5F44-46F8-ABC6-99B1D0D5C9A4		0.0	0	0	0.0	NULL	NULL	NULL	NULL
38947C8E-C856-471C-ADD6-CC7E2987998B	EADF90F0-8F90-46CD-B21C-1B0C74357998	0	2025-01-06 00:00:00	1DBDDBF8-8212-4359-8347-527D39D1D344	44001.0	0.0	73A01E45-FC1B-4000-ADCC-22A27826DCE6	1.0	تحصيل ايجار مكتب مودان 21 للفتره من 22/12/2024 حتى 22/06/2025 على بنك الرياض	00000000-0000-0000-0000-000000000000		9DD4EF21-F6B4-4D52-99D3-7F5D711475DB	4F47FC03-34EC-424A-A578-673F9259A1F1		0.0	0	0	0.0				00000000-0000-0000-0000-000000000000
77A28005-A10E-4AF0-9AEC-E5926867D17E	EADF90F0-8F90-46CD-B21C-1B0C74357998	1	2025-01-06 00:00:00	4F47FC03-34EC-424A-A578-673F9259A1F1	0.0	44001.0	73A01E45-FC1B-4000-ADCC-22A27826DCE6	1.0	تحصيل ايجار مكتب مودان 21 للفتره من 22/12/2024 حتى 22/06/2025 على بنك الرياض	00000000-0000-0000-0000-000000000000		9DD4EF21-F6B4-4D52-99D3-7F5D711475DB	1DBDDBF8-8212-4359-8347-527D39D1D344		0.0	0	0	0.0				00000000-0000-0000-0000-000000000000
4930B11C-BC0E-4598-AC89-E7EAC976F74C	C9B20763-B59C-4842-9C90-304D049998ED	1	2024-12-09 00:00:00	321D3977-998A-444A-88B9-1999F88DCBC8	81246.35	0.0	73A01E45-FC1B-4000-ADCC-22A27826DCE6	1.0	اعمال ديكورات فى المواقع	00000000-0000-0000-0000-000000000000		00000000-0000-0000-0000-000000000000	00000000-0000-0000-0000-000000000000		0.0	0	0	0.0	NULL	NULL	NULL	NULL
3926EC14-5709-425A-92D5-0E4BE5614C77	C9B20763-B59C-4842-9C90-304D049998ED	2	2024-12-09 00:00:00	14B950F1-B18E-4A6C-A324-701C84636152	0.0	10597.35	73A01E45-FC1B-4000-ADCC-22A27826DCE6	1.0	اعمال ديكورات فى المواقع	00000000-0000-0000-0000-000000000000		00000000-0000-0000-0000-000000000000	321D3977-998A-444A-88B9-1999F88DCBC8		0.0	0	0	0.0	NULL	NULL	NULL	NULL
3DAA5302-3EDE-4F71-9A79-E772B113FDE9	C9B20763-B59C-4842-9C90-304D049998ED	3	2024-12-09 00:00:00	F3841862-03FF-41DF-9342-9BFD543A9893	0.0	70649.0	73A01E45-FC1B-4000-ADCC-22A27826DCE6	1.0	اعمال ديكورات فى المواقع	00000000-0000-0000-0000-000000000000		00000000-0000-0000-0000-000000000000	321D3977-998A-444A-88B9-1999F88DCBC8		0.0	0	0	0.0	NULL	NULL	NULL	NULL
8E41AD95-37B3-4CA4-8E64-202F3A9ADBA1	6CAE99A1-ACE6-44C3-B47F-31E64ED7AE02	0	2025-01-05 00:00:00	321D3977-998A-444A-88B9-1999F88DCBC8	20000.0	0.0	73A01E45-FC1B-4000-ADCC-22A27826DCE6	1.0	حواله 05/01/2025 من جارى المالك للتحويل لشموخ اعمال خاصه	00000000-0000-0000-0000-000000000000		9DD4EF21-F6B4-4D52-99D3-7F5D711475DB	FBC2E6E2-B73A-4AA3-B075-213F997DCDE5		0.0	0	0	0.0				00000000-0000-0000-0000-000000000000
A9364382-94D0-4F04-864D-655D79E18867	6CAE99A1-ACE6-44C3-B47F-31E64ED7AE02	1	2025-01-05 00:00:00	FBC2E6E2-B73A-4AA3-B075-213F997DCDE5	0.0	20000.0	73A01E45-FC1B-4000-ADCC-22A27826DCE6	1.0	حواله 05/01/2025 من جارى المالك للتحويل لشموخ اعمال خاصه	00000000-0000-0000-0000-000000000000		9DD4EF21-F6B4-4D52-99D3-7F5D711475DB	321D3977-998A-444A-88B9-1999F88DCBC8		0.0	0	0	0.0				00000000-0000-0000-0000-000000000000
