Sample rows from table: mnrFileInfo

ID	Value	Type	SysType
9688E058-7603-4E85-99D7-94326187CA37		EINVOICE_ACCOUNT	1
234DA63F-3308-4886-B4B7-1E56866F150D		EINVOICE_PASSWORD	1
71B2474A-7BEB-43AF-BE86-B5AC49F59C2D	https://gw-fatoora.zatca.gov.sa/e-invoicing/simulation	EINVOICE_URL	1
0507EA2B-C6B5-428F-92B8-43A161595F8D		EINVOICE_SENDERWEBSITE	1
AA789C9B-81A0-45B9-9B52-E8B80573AF3E		EINVOICE_SENDERVKN	1
F809721F-86E3-420C-86B0-FD1FE02DFC44		EINVOICE_SENDERNAME	1
320E6ED8-6D5F-43E8-A3B0-6109287B51B1		EINVOICE_SENDERBUILDING	1
34032109-1169-4DA7-8AB3-5BA5B3D0E9F9		EINVOICE_SENDERCITY	1
09A2C697-F07E-43A6-8A37-8987113C44B2		EINVOICE_SENDERCOUNTRYCODE	1
92843EC1-11CF-4BFA-80DE-0962C02FDCD7		EINVOICE_SENDERCOUNTRY	1
